race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_001,1,189.012,189.012,13.598,1.164,2.284,,,,,
,driver_001,1,99.98,99.98,14.627,1.19,0.226,,,,,
,driver_001,1,102.53,102.53,10.135,0.071,0.203,,,,,
,driver_001,1,109.107,109.107,0.0,0.449,,,,,,
,driver_001,1,121.465,121.465,0.0,1.478,,,,,,
,driver_001,1,87.783,87.783,1.111,0.926,1.111,,,,,
,driver_001,1,134.026,134.026,7.079,0.925,0.905,,,,,
,driver_001,1,97.359,97.359,4.358,0.837,0.335,,,,,
,driver_001,1,118.445,118.445,2.102,1.425,1.056,,,,,
,driver_001,1,112.046,112.046,2.432,1.598,0.493,,,,,
,driver_001,1,101.425,101.425,0.0,1.2,,,,,,
,driver_001,1,103.872,103.872,2.267,0.588,2.267,,,,,
,driver_001,1,89.408,89.408,1.528,0.785,0.918,,,,,
,driver_001,1,125.742,125.742,7.87,0.712,0.941,,,,,
,driver_001,1,98.54,98.54,6.082,0.867,0.876,,,,,
,driver_001,1,106.128,106.128,4.09,0.858,0.726,,,,,
,driver_001,1,102.467,102.467,0.0,1.02,,,,,,
,driver_001,1,184.094,184.094,1.445,0.844,1.445,,,,,
,driver_001,1,108.0,108.0,0.903,1.601,0.903,,,,,
,driver_001,1,117.421,117.421,0.0,1.443,,,,,,
,driver_001,1,120.321,120.321,7.549,1.413,0.191,,,,,
,driver_001,1,104.036,104.036,0.0,0.884,,,,,,
,driver_001,1,77.354,77.354,5.848,0.632,0.323,,,,,
,driver_001,1,94.887,94.887,1.074,0.739,1.074,,,,,
,driver_001,1,102.031,102.031,0.0,1.084,,,,,,
,driver_001,1,94.895,94.895,0.434,1.15,0.434,,,,,
,driver_001,1,95.67,95.67,0.0,3.107,,,,,,
,driver_001,1,85.806,85.806,0.869,0.898,0.869,,,,,
,driver_001,1,79.399,79.399,1.734,0.988,1.734,,,,,
,driver_001,1,106.593,106.593,1.778,1.017,1.778,,,,,
,driver_001,1,101.774,101.774,5.097,1.099,0.294,,,,,
,driver_001,1,101.038,101.038,4.187,1.134,0.793,,,,,
,driver_001,1,100.229,100.229,2.375,1.342,2.375,,,,,
,driver_001,1,89.425,89.425,3.772,1.315,0.578,,,,,
,driver_001,1,134.661,134.661,28.991,1.972,4.299,,,,,
,driver_001,1,152.716,152.716,21.981,1.827,8.36,,,,,
,driver_001,1,108.064,108.064,8.077,0.456,0.98,,,,,
,driver_001,1,98.874,98.874,8.358,0.287,0.822,,,,,
,driver_001,1,167.473,167.473,66.805,,51.495,,,,,
,driver_001,1,107.572,107.572,0.0,1.503,,,,,,
,driver_001,1,97.507,97.507,1.124,1.079,1.124,,,,,
,driver_001,1,85.413,85.413,6.627,0.505,0.296,,,,,
,driver_001,1,96.989,96.989,1.989,0.913,0.542,,,,,
,driver_001,1,84.0,84.0,0.0,1.596,,,,,,
,driver_001,1,118.941,118.941,0.0,0.754,,,,,,
,driver_001,1,100.573,100.573,2.464,0.894,2.464,,,,,
,driver_001,1,113.819,113.819,3.499,1.153,0.486,,,,,
,driver_001,1,110.984,110.984,0.0,2.576,,,,,,
,driver_001,1,109.228,109.228,3.596,0.498,0.628,,,,,
,driver_001,1,112.423,112.423,1.969,0.775,1.969,,,,,
,driver_001,1,91.665,91.665,4.823,0.781,0.381,,,,,
,driver_001,1,105.684,105.684,0.0,0.318,,,,,,
,driver_001,1,102.428,102.428,0.0,0.849,,,,,,
,driver_001,1,92.425,92.425,0.0,1.109,,,,,,
,driver_001,1,107.756,107.756,5.548,1.421,2.128,,,,,
,driver_001,1,94.764,94.764,2.327,0.896,0.274,,,,,
,driver_001,1,109.408,109.408,0.0,1.239,,,,,,
,driver_001,1,117.101,117.101,3.04,1.459,3.04,,,,,
,driver_001,1,163.356,163.356,4.495,2.102,3.371,,,,,
,driver_001,1,124.909,124.909,0.0,2.656,,,,,,
,driver_001,1,98.829,98.829,0.0,1.132,,,,,,
,driver_001,1,108.752,108.752,0.0,1.367,,,,,,
,driver_001,1,179.371,179.371,0.0,1.51,,,,,,
,driver_001,1,149.923,149.923,1.852,1.443,1.852,,,,,
,driver_001,1,141.04,141.04,3.49,1.287,0.952,,,,,
,driver_001,1,110.341,110.341,3.507,1.057,3.507,,,,,
,driver_001,1,73.718,73.718,0.951,1.054,0.951,,,,,
,driver_001,1,209.672,209.672,2.601,1.895,0.606,,,,,
,driver_001,1,109.826,109.826,6.829,0.791,0.479,,,,,
,driver_001,1,91.296,91.296,1.601,0.969,0.954,,,,,
,driver_001,1,105.421,105.421,2.07,0.978,1.006,,,,,
,driver_001,1,92.536,92.536,4.145,1.351,0.918,,,,,
,driver_001,1,86.652,86.652,1.399,1.298,1.399,,,,,
,driver_001,1,86.376,86.376,2.441,0.753,0.637,,,,,
,driver_001,1,100.664,100.664,4.113,0.35,0.638,,,,,
,driver_001,1,98.801,98.801,7.216,0.274,0.705,,,,,
,driver_001,1,131.543,131.543,11.364,2.624,0.719,,,,,
,driver_001,1,93.688,93.688,6.23,0.815,0.383,,,,,
,driver_001,1,99.924,99.924,5.586,0.235,1.005,,,,,
,driver_001,1,84.441,84.441,1.873,0.982,0.488,,,,,
,driver_001,1,96.034,96.034,0.823,0.677,0.823,,,,,
,driver_001,1,112.235,112.235,7.176,2.697,1.409,,,,,
,driver_001,1,109.088,109.088,13.436,0.279,0.639,,,,,
,driver_001,1,107.175,107.175,3.871,0.789,0.614,,,,,
,driver_001,1,86.188,86.188,0.0,0.743,,,,,,
,driver_001,1,106.989,106.989,1.368,0.766,1.368,,,,,
,driver_001,1,88.299,88.299,1.312,1.542,1.312,,,,,
,driver_001,1,177.228,177.228,20.022,1.638,2.078,,,,,
,driver_001,1,93.114,93.114,1.654,0.825,0.903,,,,,
,driver_001,1,88.367,88.367,0.0,0.492,,,,,,
,driver_001,1,100.622,100.622,1.358,1.38,1.358,,,,,
,driver_001,1,123.65,123.65,0.0,1.093,,,,,,
,driver_001,1,86.332,86.332,0.0,0.629,,,,,,
,driver_001,1,130.539,130.539,21.174,1.239,4.924,,,,,
,driver_001,1,105.695,105.695,0.0,1.181,,,,,,
,driver_001,1,101.39,101.39,0.0,0.827,,,,,,
,driver_001,1,86.226,86.226,0.0,0.884,,,,,,
,driver_001,1,130.775,130.775,4.864,1.859,0.743,,,,,
,driver_001,1,99.371,99.371,1.246,1.044,0.785,,,,,
,driver_001,1,107.409,107.409,6.6,0.919,3.05,,,,,
,driver_001,1,108.599,108.599,13.713,0.448,0.58,,,,,
,driver_001,1,99.941,99.941,2.399,1.229,0.475,,,,,
,driver_001,1,82.018,82.018,1.202,1.446,1.202,,,,,
,driver_001,1,100.299,100.299,0.0,1.895,,,,,,
,driver_001,1,94.01,94.01,0.0,1.354,,,,,,
,driver_001,1,85.855,85.855,0.0,1.492,,,,,,
,driver_001,1,85.914,85.914,0.0,1.378,,,,,,
,driver_001,1,127.166,127.166,0.0,1.419,,,,,,
,driver_001,1,93.76,93.76,0.0,1.853,,,,,,
,driver_001,1,102.572,102.572,3.969,4.626,3.969,,,,,
,driver_001,1,104.097,104.097,8.743,0.378,0.521,,,,,
,driver_001,1,104.788,104.788,8.797,0.235,0.514,,,,,
,driver_001,1,146.223,146.223,4.254,1.548,2.244,,,,,
