race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_090,55,107.33,6064.396,22.779,1.709,2.433,,,,,
,driver_090,55,92.924,5210.376,78.029,2.139,0.514,,,,,
,driver_090,55,99.277,5597.826,36.154,1.153,1.651,,,,,
,driver_090,55,81.462,6285.027,5.231,0.853,0.424,,,,,
,driver_090,55,106.288,5977.304,91.198,2.059,8.312,,,,,
,driver_090,55,91.242,5158.515,84.67,3.594,1.307,,,,,
,driver_090,55,80.967,4731.727,90.596,2.027,4.523,,,,,
,driver_090,55,106.82,6013.679,71.06,0.985,8.912,,,,,
,driver_090,55,93.724,5404.251,164.222,40.698,10.962,,,,,
,driver_090,55,80.375,4484.307,44.317,5.22,8.681,,,,,
,driver_090,55,108.671,5942.789,58.776,0.66,8.662,,,,,
,driver_090,55,95.469,5503.313,59.382,12.007,5.922,,,,,
,driver_090,55,79.93,4597.438,90.22,13.914,19.996,,,,,
,driver_090,55,106.281,6232.097,182.696,16.782,1.391,,,,,
,driver_090,55,105.277,5654.355,119.053,0.925,1.935,,,,,
,driver_090,55,98.135,4163.949,3.434,1.603,1.19,,,,,
,driver_090,55,72.915,4386.622,13.919,34.846,3.797,,,,,
,driver_090,55,100.433,6039.208,8.175,38.506,1.467,,,,,
,driver_090,55,83.202,4592.629,13.149,4.742,1.849,,,,,
,driver_090,55,113.502,4549.687,4.495,2.013,1.582,,,,,
,driver_090,55,100.446,4501.696,143.629,13.83,0.713,,,,,
,driver_090,55,74.124,5845.658,43.623,13.858,0.471,,,,,
,driver_090,55,70.087,3969.067,55.525,3.071,0.898,,,,,
,driver_090,55,75.45,4208.426,33.517,17.513,3.033,,,,,
,driver_090,55,105.404,5892.983,125.652,6.256,5.173,,,,,
,driver_090,55,91.559,5404.695,24.901,0.808,8.624,,,,,
,driver_090,55,101.484,9792.291,2.597,11.509,2.597,,,,,
,driver_090,55,100.026,5583.517,69.089,4.922,1.023,,,,,
,driver_090,55,114.942,6816.002,42.053,31.882,2.598,,,,,
,driver_090,55,103.497,6573.501,25.104,1.734,2.951,,,,,
,driver_090,55,78.738,4402.01,57.705,3.203,1.194,,,,,
,driver_090,55,78.652,4502.478,76.732,6.046,1.439,,,,,
,driver_090,55,69.988,3898.854,71.251,1.046,1.309,,,,,
,driver_090,55,94.746,5481.189,52.21,4.847,6.559,,,,,
,driver_090,55,136.838,5052.571,16.392,1.964,10.171,,,,,
,driver_090,55,84.108,4907.722,24.318,3.927,24.318,,,,,
,driver_090,55,88.187,4975.242,16.87,1.867,3.597,,,,,
,driver_090,55,98.499,5464.634,94.164,1.093,0.559,,,,,
,driver_090,55,79.763,4539.319,31.568,6.349,7.403,,,,,
,driver_090,55,87.146,4929.244,69.272,8.443,6.211,,,,,
,driver_090,55,108.318,6415.435,56.768,7.827,0.295,,,,,
,driver_090,55,116.805,5909.839,78.678,12.618,22.298,,,,,
,driver_090,55,77.808,4471.711,99.577,4.557,3.471,,,,,
,driver_090,55,116.026,6529.973,45.287,0.201,2.832,,,,,
,driver_090,55,79.869,4739.938,0.744,0.64,0.744,,,,,
,driver_090,55,102.127,5606.211,100.786,8.029,17.368,,,,,
,driver_090,55,72.731,4338.126,76.538,9.884,12.161,,,,,
,driver_090,55,78.86,5347.45,9.935,3.126,8.382,,,,,
,driver_090,55,88.474,4979.243,103.717,0.92,27.126,,,,,
,driver_090,55,107.179,7105.937,20.262,2.517,2.273,,,,,
,driver_090,55,100.753,5657.053,98.748,32.942,1.166,,,,,
,driver_090,55,101.402,5541.383,111.66,6.681,1.988,,,,,
,driver_090,55,90.235,5315.915,10.924,2.407,1.641,,,,,
,driver_090,55,82.682,4730.049,45.753,27.357,12.446,,,,,
,driver_090,55,75.107,4317.188,30.667,23.991,4.771,,,,,
,driver_090,55,78.54,4489.703,53.94,4.904,5.867,,,,,
,driver_090,55,97.496,5494.426,129.181,9.177,9.424,,,,,
,driver_090,55,79.086,4423.929,122.193,18.17,10.675,,,,,
,driver_090,55,77.747,4396.365,24.975,4.504,0.661,,,,,
,driver_090,55,101.281,5749.386,64.753,10.025,7.021,,,,,
,driver_090,55,77.725,4364.28,33.401,2.409,1.012,,,,,
,driver_090,55,113.469,6650.655,36.628,0.454,8.368,,,,,
,driver_090,55,96.359,6397.703,86.288,7.427,2.51,,,,,
,driver_090,55,85.957,4857.609,93.726,6.684,0.61,,,,,
,driver_090,55,76.645,4472.289,28.591,0.746,0.641,,,,,
,driver_090,55,68.797,3879.108,60.965,8.457,3.817,,,,,
,driver_090,55,82.073,4985.435,134.033,10.717,0.781,,,,,
,driver_090,55,76.996,4315.088,98.286,10.502,8.286,,,,,
,driver_090,55,80.643,4809.182,32.845,12.109,22.68,,,,,
,driver_090,55,89.205,5007.132,10.75,14.193,2.809,,,,,
,driver_090,55,75.161,4601.102,9.277,10.826,9.277,,,,,
,driver_090,55,85.533,6508.387,32.603,1.888,1.138,,,,,
,driver_090,55,91.536,5160.279,62.444,11.528,8.056,,,,,
,driver_090,55,117.984,6683.892,48.504,0.173,1.458,,,,,
,driver_090,55,99.375,5796.983,64.06,2.486,2.604,,,,,
,driver_090,55,108.803,5913.66,125.056,1.957,14.573,,,,,
,driver_090,55,88.284,5154.692,44.498,8.952,0.718,,,,,
,driver_090,55,86.476,4600.212,56.338,2.169,24.868,,,,,
,driver_090,55,83.575,4744.973,134.309,29.194,3.825,,,,,
,driver_090,55,112.311,4231.451,124.928,1.562,1.286,,,,,
,driver_090,55,101.296,5617.437,40.553,7.919,39.674,,,,,
,driver_090,55,80.21,4902.425,13.271,11.543,13.271,,,,,
,driver_090,55,90.635,5081.567,3.307,20.865,3.307,,,,,
,driver_090,55,68.604,4041.902,27.677,9.613,0.876,,,,,
,driver_090,55,99.987,5669.141,59.02,4.455,1.162,,,,,
,driver_090,55,117.018,6556.766,80.017,14.253,0.766,,,,,
,driver_090,55,89.639,5114.013,118.799,0.722,1.455,,,,,
,driver_090,55,78.901,4567.548,64.126,28.33,5.699,,,,,
,driver_090,55,101.873,5736.89,82.115,1.283,7.825,,,,,
,driver_090,55,103.003,5900.307,44.929,9.036,14.896,,,,,
,driver_090,55,100.097,5806.299,19.737,1.931,18.751,,,,,
,driver_090,55,92.802,5225.573,145.109,1.823,4.436,,,,,
,driver_090,55,76.329,4369.484,108.33,1.611,3.369,,,,,
,driver_090,55,76.869,4313.716,65.297,7.737,1.401,,,,,
,driver_090,55,96.274,5383.467,77.753,31.728,24.203,,,,,
,driver_090,55,98.611,5453.087,124.805,0.24,0.845,,,,,
,driver_090,55,129.462,5488.069,121.471,7.071,2.861,,,,,
,driver_090,55,71.049,3438.374,38.358,9.455,0.438,,,,,
,driver_090,55,84.482,3889.097,53.687,17.343,20.285,,,,,
,driver_090,55,97.746,5755.173,53.388,10.039,0.989,,,,,
,driver_090,55,88.008,5160.321,71.275,1.228,1.754,,,,,
,driver_090,55,90.855,5282.009,14.748,1.4,2.888,,,,,
,driver_090,55,81.485,4877.933,108.77,4.342,2.346,,,,,
,driver_090,55,103.678,5835.434,120.35,4.929,3.41,,,,,
,driver_090,55,93.719,5232.588,89.486,1.51,0.639,,,,,
,driver_090,55,104.456,5868.713,80.062,4.386,0.37,,,,,
,driver_090,55,153.242,5987.032,157.483,0.747,2.941,,,,,
,driver_090,55,76.893,4410.298,96.228,4.321,8.229,,,,,
,driver_090,55,70.503,4175.812,47.062,1.122,1.278,,,,,
,driver_090,55,84.065,4765.527,63.089,24.455,1.106,,,,,
,driver_090,55,86.757,4920.299,92.582,10.567,29.094,,,,,
,driver_090,55,82.717,4834.751,69.334,3.805,1.468,,,,,
,driver_090,55,102.463,5633.788,104.528,0.524,13.623,,,,,
,driver_090,55,73.708,4373.321,52.051,13.795,3.61,,,,,
,driver_090,55,98.094,5679.512,39.873,2.155,2.171,,,,,
,driver_090,55,93.434,5215.614,27.307,6.89,19.226,,,,,
,driver_090,55,79.643,4651.701,17.28,34.717,3.197,,,,,
,driver_090,55,96.436,5669.239,7.701,0.621,2.093,,,,,
,driver_090,55,81.911,5042.497,19.938,3.336,19.938,,,,,
,driver_090,55,91.971,5489.831,8.771,8.043,1.178,,,,,
,driver_090,55,78.491,6283.041,0.0,0.707,,,,,,
,driver_090,55,1011.29,6788.242,872.979,7.719,4.993,,,,,
,driver_090,55,77.776,4454.0,29.936,4.185,7.071,,,,,
,driver_090,55,100.593,5971.064,18.763,4.545,5.021,,,,,
,driver_090,55,80.52,4536.18,55.932,16.909,4.75,,,,,
,driver_090,55,87.247,5092.939,113.786,4.131,6.228,,,,,
,driver_090,55,85.745,5319.871,195.725,17.665,2.365,,,,,
,driver_090,55,103.182,6228.856,35.155,0.835,0.765,,,,,
,driver_090,55,124.26,4780.505,7.633,1.0,1.548,,,,,
,driver_090,55,107.709,5974.127,63.952,1.058,20.217,,,,,
,driver_090,55,104.411,5923.487,91.172,4.134,8.713,,,,,
,driver_090,55,113.225,6376.392,93.788,1.051,15.576,,,,,
,driver_090,55,103.204,5746.124,92.062,6.849,6.349,,,,,
,driver_090,55,69.018,3910.632,79.409,10.697,3.195,,,,,
,driver_090,55,103.445,6071.657,91.275,,0.486,,,,,
,driver_090,55,82.738,4891.346,19.65,0.65,1.844,,,,,
,driver_090,55,81.931,4619.625,124.665,1.612,12.215,,,,,
,driver_090,55,80.308,4646.661,83.074,2.242,3.426,,,,,
,driver_090,55,81.222,8066.522,10.297,2.299,3.838,,,,,
,driver_090,55,134.017,4599.648,8.487,1.91,0.633,,,,,
,driver_090,55,68.192,3984.761,57.007,2.012,10.874,,,,,
,driver_090,55,74.056,4257.3,107.547,3.388,8.041,,,,,
,driver_090,55,82.864,4714.948,25.863,7.203,7.667,,,,,
,driver_090,55,95.611,5335.885,20.737,3.335,20.737,,,,,
,driver_090,55,81.616,4589.261,35.761,14.178,16.623,,,,,
,driver_090,55,90.006,5068.18,42.025,28.447,0.939,,,,,
,driver_090,55,103.927,5794.912,85.161,24.224,5.112,,,,,
,driver_090,55,81.313,4431.193,87.591,6.685,1.678,,,,,
,driver_090,55,101.52,5562.475,144.24,2.34,7.3,,,,,
,driver_090,55,76.5,4452.168,110.005,21.892,1.22,,,,,
,driver_090,55,73.111,4136.062,61.813,26.663,17.838,,,,,
,driver_090,55,83.072,4691.949,79.159,7.929,58.512,,,,,
,driver_090,55,97.092,5455.6,12.442,24.878,12.442,,,,,
,driver_090,55,82.473,4678.972,19.41,9.924,6.374,,,,,
,driver_090,55,81.618,4679.288,38.758,8.015,19.248,,,,,
,driver_090,55,102.413,5724.573,39.856,2.355,0.941,,,,,
,driver_090,55,87.251,5059.03,79.334,5.184,1.58,,,,,
,driver_090,55,96.697,5628.741,25.311,7.168,1.131,,,,,
,driver_090,55,86.338,4929.42,67.925,26.086,12.772,,,,,
,driver_090,55,96.08,5467.897,76.353,24.212,17.298,,,,,
,driver_090,55,77.327,4122.817,15.624,8.225,0.44,,,,,
,driver_090,55,75.274,4303.405,83.461,8.217,11.021,,,,,
,driver_090,55,107.553,6114.237,156.078,0.455,17.192,,,,,
,driver_090,55,90.964,5178.969,74.346,5.33,12.206,,,,,
,driver_090,55,80.267,4558.269,75.225,16.119,3.978,,,,,
,driver_090,55,123.89,9476.717,1.428,1.53,0.972,,,,,
,driver_090,55,96.531,5880.09,120.679,6.578,14.246,,,,,
,driver_090,55,90.797,4993.907,129.055,0.623,0.541,,,,,
,driver_090,55,80.938,4589.782,61.098,2.193,6.492,,,,,
,driver_090,55,67.697,3932.598,48.49,7.665,0.665,,,,,
,driver_090,55,81.194,4596.053,74.747,7.196,30.339,,,,,
,driver_090,55,101.974,5864.901,24.821,3.584,24.821,,,,,
,driver_090,55,107.116,4949.643,83.335,19.255,6.693,,,,,
,driver_090,55,80.047,6784.316,53.331,7.756,0.577,,,,,
,driver_090,55,75.238,4225.587,20.242,17.148,5.751,,,,,
,driver_090,55,108.645,6900.161,0.0,3.497,,,,,,
,driver_090,55,76.962,4522.758,24.104,19.037,7.45,,,,,
,driver_090,55,100.875,5638.763,17.738,4.536,3.445,,,,,
,driver_090,56,101.419,5850.805,63.86,8.744,7.262,,,,,
,driver_090,56,99.251,5697.077,36.614,1.319,0.706,,,,,
,driver_090,56,76.871,4441.151,33.923,2.706,0.904,,,,,
,driver_090,56,80.031,4564.338,44.107,5.662,8.279,,,,,
,driver_090,56,121.449,4901.954,6.164,0.969,1.005,,,,,
,driver_090,56,113.46,6489.852,96.196,0.839,16.494,,,,,
,driver_090,56,69.641,3968.495,72.188,2.476,1.414,,,,,
,driver_090,56,75.163,4300.75,20.606,17.746,5.399,,,,,
,driver_090,56,68.049,3957.146,52.887,18.501,18.805,,,,,
,driver_090,56,73.913,4331.213,107.695,4.77,7.149,,,,,
,driver_090,56,79.96,4731.661,17.252,35.749,2.58,,,,,
,driver_090,56,82.526,4675.155,13.57,5.032,1.401,,,,,
,driver_090,56,96.565,5552.165,11.802,25.786,11.802,,,,,
,driver_090,56,81.902,4761.19,38.489,7.133,18.916,,,,,
,driver_090,56,81.919,4959.852,110.433,3.976,2.987,,,,,
,driver_090,56,93.159,5325.747,91.261,0.391,7.715,,,,,
,driver_090,56,106.046,5999.029,129.039,5.117,6.752,,,,,
,driver_090,56,101.784,9894.075,2.263,12.328,2.263,,,,,
,driver_090,56,99.909,5683.426,70.778,4.096,0.931,,,,,
,driver_090,56,114.293,6930.295,43.633,34.733,2.157,,,,,
,driver_090,56,102.72,5839.61,84.341,0.53,9.208,,,,,
,driver_090,56,87.505,5146.535,79.012,5.961,0.762,,,,,
,driver_090,56,90.123,5158.303,42.696,28.004,0.813,,,,,
,driver_090,56,81.234,4812.961,90.245,2.976,3.197,,,,,
,driver_090,56,95.745,5499.996,168.974,38.291,12.633,,,,,
,driver_090,56,72.673,4410.799,77.395,10.304,12.946,,,,,
,driver_090,56,76.193,4445.677,109.079,1.731,3.59,,,,,
,driver_090,56,94.325,6492.028,88.912,5.19,4.2,,,,,
,driver_090,56,89.881,4947.49,98.816,3.076,0.339,,,,,
,driver_090,56,80.392,4638.661,76.244,15.61,3.381,,,,,
,driver_090,56,89.929,9566.646,3.731,1.923,1.902,,,,,
,driver_090,56,78.892,4480.902,58.256,3.059,1.584,,,,,
,driver_090,56,88.143,4688.355,15.548,1.658,2.865,,,,,
,driver_090,56,106.434,6338.531,186.217,18.255,0.985,,,,,
,driver_090,56,85.184,4777.133,82.897,5.354,62.03,,,,,
,driver_090,56,94.755,5575.944,52.047,7.043,5.581,,,,,
,driver_090,56,92.768,5308.382,29.052,6.874,18.172,,,,,
,driver_090,56,96.286,5765.525,8.314,0.816,2.612,,,,,
,driver_090,56,79.881,4982.306,13.649,12.803,13.649,,,,,
,driver_090,56,85.885,4993.607,23.165,3.989,23.165,,,,,
,driver_090,56,91.539,5251.818,64.021,12.254,9.306,,,,,
,driver_090,56,89.905,5203.918,120.31,0.71,1.99,,,,,
,driver_090,56,115.665,6645.638,48.614,0.264,1.299,,,,,
,driver_090,56,103.533,6003.84,46.692,7.817,16.292,,,,,
,driver_090,56,102.797,5665.272,148.677,18.953,1.828,,,,,
,driver_090,56,84.242,4849.769,64.519,24.978,1.293,,,,,
,driver_090,56,80.202,4677.64,90.107,15.364,19.019,,,,,
,driver_090,56,98.383,5551.47,126.563,0.027,1.165,,,,,
,driver_090,56,101.593,5781.105,44.725,4.648,0.675,,,,,
,driver_090,56,73.032,4209.094,62.362,27.885,17.831,,,,,
,driver_090,56,91.498,5173.065,5.097,20.962,5.097,,,,,
,driver_090,56,68.324,4110.226,27.651,1.008,0.727,,,,,
,driver_090,56,83.506,4762.478,20.316,10.332,6.951,,,,,
,driver_090,56,87.896,5063.138,17.039,2.437,2.836,,,,,
,driver_090,56,91.294,5373.303,15.002,1.535,3.12,,,,,
,driver_090,56,78.572,4568.275,54.158,5.592,4.819,,,,,
,driver_090,56,104.387,5899.299,86.489,,2.499,,,,,
,driver_090,56,93.183,5318.756,148.71,1.166,4.854,,,,,
,driver_090,56,88.336,5067.579,104.616,1.294,26.972,,,,,
,driver_090,56,82.687,4917.438,69.779,3.901,1.718,,,,,
,driver_090,56,96.453,5479.92,78.63,,22.609,,,,,
,driver_090,56,75.963,4528.131,111.497,22.578,1.618,,,,,
,driver_090,56,76.861,4391.949,100.127,12.253,8.185,,,,,
,driver_090,56,113.979,4277.928,2.605,1.705,1.02,,,,,
,driver_090,56,82.375,4891.557,33.933,11.461,23.653,,,,,
,driver_090,56,96.708,4413.896,41.274,34.233,4.901,,,,,
,driver_090,56,98.016,5853.189,52.884,13.308,0.618,,,,,
,driver_090,56,75.521,4283.947,34.222,15.964,3.422,,,,,
,driver_090,56,92.23,5302.606,80.985,1.154,0.721,,,,,
,driver_090,56,80.089,4820.027,1.008,0.457,1.008,,,,,
,driver_090,56,103.615,6677.116,24.413,1.206,2.054,,,,,
,driver_090,56,104.687,6028.174,94.283,2.97,8.091,,,,,
,driver_090,56,86.405,5006.704,94.983,10.936,30.348,,,,,
,driver_090,56,88.338,5243.03,45.6,8.583,0.952,,,,,
,driver_090,56,102.67,5759.723,101.08,,0.423,,,,,
,driver_090,56,81.065,4727.726,83.943,1.945,2.154,,,,,
,driver_090,56,77.069,4599.827,25.285,19.282,8.162,,,,,
,driver_090,56,74.656,4675.758,9.523,10.007,9.523,,,,,
,driver_090,56,86.845,5247.166,73.801,1.084,2.269,,,,,
,driver_090,56,69.694,4038.761,56.596,1.06,2.477,,,,,
,driver_090,56,99.127,5563.761,96.094,3.155,1.374,,,,,
,driver_090,56,99.57,5768.711,59.072,3.885,2.777,,,,,
,driver_090,56,88.259,5181.198,114.174,3.457,3.521,,,,,
,driver_090,56,78.307,4474.672,25.092,3.715,0.014,,,,,
,driver_090,56,108.201,6172.597,24.878,0.773,0.084,,,,,
,driver_090,56,115.745,6799.637,50.936,1.25,4.992,,,,,
,driver_090,56,79.309,5426.759,8.818,2.499,7.541,,,,,
,driver_090,56,76.664,4548.953,29.175,0.739,0.622,,,,,
,driver_090,56,81.886,4701.511,126.298,1.895,13.928,,,,,
,driver_090,56,80.817,4670.599,60.996,1.667,6.215,,,,,
,driver_090,56,81.12,8147.642,10.899,2.415,4.33,,,,,
,driver_090,56,100.455,5965.356,25.863,3.312,25.863,,,,,
,driver_090,56,56.922,3495.296,30.561,1.219,0.449,,,,,
,driver_090,56,101.059,5739.822,18.46,6.202,3.326,,,,,
,driver_090,56,80.29,4616.47,55.732,17.236,5.469,,,,,
,driver_090,56,91.812,5496.507,27.526,0.376,9.723,,,,,
,driver_090,56,79.4,4618.719,30.857,5.743,7.459,,,,,
,driver_090,56,86.44,5015.684,69.587,8.767,6.218,,,,,
,driver_090,56,81.326,6366.353,5.74,0.716,0.531,,,,,
,driver_090,56,96.589,5725.33,27.478,5.617,3.331,,,,,
,driver_090,56,113.378,6764.033,39.017,0.413,9.842,,,,,
,driver_090,56,71.043,4246.855,34.983,0.644,4.958,,,,,
,driver_090,56,96.193,5599.506,61.18,12.309,6.915,,,,,
,driver_090,56,76.983,4390.699,65.899,7.538,1.289,,,,,
,driver_090,56,83.263,4828.236,135.654,31.565,4.059,,,,,
,driver_090,56,127.986,4727.634,6.232,2.349,0.679,,,,,
,driver_090,56,83.11,4813.159,45.94,26.283,13.544,,,,,
,driver_090,56,82.78,4797.728,25.63,7.11,8.887,,,,,
,driver_090,56,215.812,7004.054,39.96,0.306,0.279,,,,,
,driver_090,56,105.055,4606.751,142.553,12.565,1.382,,,,,
,driver_090,56,82.757,6591.144,33.355,2.271,0.95,,,,,
,driver_090,56,78.426,4502.355,124.304,17.025,11.104,,,,,
,driver_090,56,103.422,5827.995,41.066,1.207,2.346,,,,,
,driver_090,56,77.43,4644.978,61.667,30.772,2.633,,,,,
,driver_090,56,78.188,4549.899,101.054,4.822,3.785,,,,,
,driver_090,56,86.248,5015.668,63.7,26.661,13.426,,,,,
,driver_090,56,100.166,5906.465,22.109,1.064,21.095,,,,,
,driver_090,56,92.066,5250.581,86.926,6.335,1.441,,,,,
,driver_090,56,90.644,5269.613,74.813,5.056,12.464,,,,,
,driver_090,56,68.599,3947.707,61.284,8.71,3.575,,,,,
,driver_090,56,107.313,7213.25,21.847,2.431,2.149,,,,,
,driver_090,56,90.821,5084.728,131.144,0.696,0.543,,,,,
,driver_090,56,82.231,4973.577,21.901,0.54,1.768,,,,,
,driver_090,56,94.667,5044.31,68.286,16.796,4.72,,,,,
,driver_090,56,81.791,5124.288,20.1,3.483,20.1,,,,,
,driver_090,56,89.446,5096.578,10.352,14.342,2.222,,,,,
,driver_090,56,100.65,6071.714,19.16,4.463,5.387,,,,,
,driver_090,56,99.199,6009.038,72.357,14.767,19.313,,,,,
,driver_090,56,99.293,5567.19,82.337,19.662,20.708,,,,,
,driver_090,56,90.441,4213.258,32.903,2.242,5.623,,,,,
,driver_090,56,73.511,4446.832,52.492,14.193,3.58,,,,,
,driver_090,56,79.805,6864.121,55.227,7.397,0.668,,,,,
,driver_090,56,73.189,4459.811,14.556,34.659,3.565,,,,,
,driver_090,56,78.898,6361.939,0.0,0.737,,,,,,
,driver_090,56,120.298,4669.985,4.227,0.591,1.79,,,,,
,driver_090,56,97.732,5592.158,129.367,9.351,9.799,,,,,
,driver_090,56,87.922,5407.793,197.712,15.467,0.488,,,,,
,driver_090,56,117.094,6673.86,87.701,11.358,0.712,,,,,
,driver_090,56,75.261,4378.666,84.535,8.176,8.026,,,,,
,driver_090,56,101.162,5707.373,102.411,7.206,17.998,,,,,
,driver_090,56,79.964,4511.157,90.054,5.877,3.343,,,,,
,driver_090,56,76.775,4487.073,96.273,5.855,8.261,,,,,
,driver_090,56,99.587,5896.57,63.794,1.411,2.212,,,,,
,driver_090,56,82.585,5068.02,136.807,10.553,0.738,,,,,
,driver_090,56,68.906,3979.538,80.228,11.519,2.057,,,,,
,driver_090,56,116.399,5604.468,95.387,12.788,1.841,,,,,
,driver_090,56,84.947,4587.425,83.882,0.797,8.646,,,,,
,driver_090,56,87.494,4318.945,95.119,1.613,0.323,,,,,
,driver_090,56,68.082,4000.68,48.677,7.922,0.51,,,,,
,driver_090,56,90.052,5405.967,11.75,3.149,1.534,,,,,
,driver_090,56,81.35,4677.403,76.595,6.876,29.874,,,,,
,driver_090,56,68.444,4053.205,57.439,2.388,11.046,,,,,
,driver_090,56,101.338,5718.775,42.223,10.023,40.89,,,,,
,driver_090,56,91.863,5581.694,8.894,8.375,1.251,,,,,
,driver_090,56,108.251,7008.412,0.0,4.258,,,,,,
,driver_090,56,100.772,6139.98,8.293,36.522,0.792,,,,,
,driver_090,56,77.484,4531.484,30.237,5.26,6.107,,,,,
,driver_090,56,74.956,5920.614,39.27,13.631,0.662,,,,,
,driver_090,56,95.568,5431.453,21.634,3.072,21.634,,,,,
,driver_090,56,81.849,4671.11,36.512,13.081,18.115,,,,,
,driver_090,57,88.385,5269.583,115.002,2.256,0.803,,,,,
,driver_090,57,93.056,5411.812,152.023,0.998,4.462,,,,,
,driver_090,57,88.325,5035.815,102.797,1.9,0.376,,,,,
,driver_090,57,84.116,4933.885,65.45,28.881,1.382,,,,,
,driver_090,57,107.972,7321.222,24.352,1.354,2.699,,,,,
,driver_090,57,68.476,4069.156,49.138,7.866,0.81,,,,,
,driver_090,57,91.223,5464.526,14.65,1.935,3.243,,,,,
,driver_090,57,75.714,4359.661,35.069,14.177,4.484,,,,,
,driver_090,57,80.964,6447.317,5.609,0.881,0.564,,,,,
,driver_090,57,96.161,5821.491,29.338,4.546,5.336,,,,,
,driver_090,57,79.66,4590.817,91.768,5.178,4.778,,,,,
,driver_090,57,74.792,4485.591,80.52,8.562,15.943,,,,,
,driver_090,57,78.334,4469.033,68.13,6.283,1.323,,,,,
,driver_090,57,82.544,4999.982,69.902,3.81,1.58,,,,,
,driver_090,57,75.685,4603.816,113.218,23.694,1.663,,,,,
,driver_090,57,70.684,4039.179,74.647,1.087,3.047,,,,,
,driver_090,57,80.922,4808.648,85.266,1.529,2.336,,,,,
,driver_090,57,81.236,8228.878,11.989,2.598,5.14,,,,,
,driver_090,57,75.736,4376.486,21.58,17.893,5.694,,,,,
,driver_090,57,80.309,4811.97,17.522,36.2,1.748,,,,,
,driver_090,57,100.635,5692.793,126.366,6.536,12.065,,,,,
,driver_090,57,88.756,5496.549,201.272,12.765,0.387,,,,,
,driver_090,57,79.756,4698.475,30.571,4.712,7.643,,,,,
,driver_090,57,75.497,4454.163,85.748,8.001,8.028,,,,,
,driver_090,57,86.674,5093.378,97.782,11.345,32.011,,,,,
,driver_090,57,73.315,4520.147,52.904,14.636,3.444,,,,,
,driver_090,57,83.267,4911.503,136.816,32.177,4.288,,,,,
