race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_007,11,77.759,862.431,12.695,2.465,9.385,,,,,
,driver_007,11,75.05,842.682,18.182,0.885,1.437,,,,,
,driver_007,11,95.053,1131.137,15.489,2.818,3.807,,,,,
,driver_007,11,85.247,1079.067,27.066,3.897,0.524,,,,,
,driver_007,11,87.848,983.438,2.09,6.617,2.09,,,,,
,driver_007,11,96.532,1078.252,6.404,3.325,6.404,,,,,
,driver_007,11,82.259,920.753,13.134,1.949,4.257,,,,,
,driver_007,11,78.464,889.627,13.352,2.759,1.734,,,,,
,driver_007,11,75.955,918.559,35.082,0.375,0.673,,,,,
,driver_007,11,72.071,830.644,11.434,5.652,0.397,,,,,
,driver_007,11,87.955,979.176,27.404,0.925,2.055,,,,,
,driver_007,11,80.246,897.091,26.227,0.836,1.297,,,,,
,driver_007,11,110.707,1228.436,28.703,5.463,1.332,,,,,
,driver_007,11,78.205,860.781,10.886,2.73,4.228,,,,,
,driver_007,11,87.31,985.961,23.002,2.885,0.65,,,,,
,driver_007,11,92.805,1035.114,37.696,0.643,3.008,,,,,
,driver_007,11,86.264,960.853,49.059,0.368,0.978,,,,,
,driver_007,11,152.851,1694.231,494.521,,439.956,,,,,
,driver_007,11,103.956,1205.976,59.491,6.214,3.397,,,,,
,driver_007,11,107.406,1201.066,42.882,12.03,2.089,,,,,
,driver_007,11,113.86,1269.706,63.278,0.881,0.784,,,,,
,driver_007,11,83.965,1047.705,17.228,3.709,1.81,,,,,
,driver_007,11,85.882,1043.366,0.0,0.779,,,,,,
,driver_007,11,79.489,888.312,33.161,2.055,3.716,,,,,
,driver_007,11,112.332,1250.231,51.135,2.227,0.551,,,,,
,driver_007,11,79.823,889.456,30.187,0.364,4.253,,,,,
,driver_007,11,74.224,1070.07,12.677,1.847,4.617,,,,,
,driver_007,11,78.416,870.202,9.691,1.984,3.325,,,,,
,driver_007,11,91.086,1027.609,37.186,4.741,0.823,,,,,
,driver_007,11,109.873,1217.324,59.481,0.54,0.749,,,,,
,driver_007,11,78.198,862.022,15.782,0.622,15.782,,,,,
,driver_007,11,151.259,1332.159,28.346,0.382,1.351,,,,,
,driver_007,11,93.58,1045.858,28.582,6.181,0.832,,,,,
,driver_007,11,81.082,899.971,14.854,4.314,9.052,,,,,
,driver_007,11,123.085,1503.853,25.693,4.9,2.199,,,,,
,driver_007,11,76.96,854.242,9.74,3.12,3.771,,,,,
