race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_102,48,95.189,4788.968,49.108,10.817,3.122,,,,,
,driver_102,48,92.538,4556.319,108.016,3.89,2.652,,,,,
,driver_102,48,77.803,3869.221,92.343,0.491,4.513,,,,,
,driver_102,48,104.719,4234.896,114.977,1.969,0.172,,,,,
,driver_102,48,86.115,4217.049,104.444,1.835,0.851,,,,,
,driver_102,48,100.468,5189.413,55.576,3.23,3.226,,,,,
,driver_102,48,79.905,4041.028,74.616,13.355,2.346,,,,,
,driver_102,48,90.852,4487.697,65.414,3.314,3.788,,,,,
,driver_102,48,82.451,7499.433,7.206,1.041,0.924,,,,,
,driver_102,48,96.898,4674.392,53.598,,1.332,,,,,
,driver_102,48,78.623,3879.108,64.864,1.113,1.227,,,,,
,driver_102,48,103.633,5230.122,93.374,19.573,5.809,,,,,
,driver_102,48,90.873,4887.158,66.298,0.352,11.953,,,,,
,driver_102,48,77.19,3789.629,74.21,4.677,1.521,,,,,
,driver_102,48,116.488,5585.859,78.49,4.725,0.189,,,,,
,driver_102,48,101.769,4921.525,91.05,0.543,0.881,,,,,
,driver_102,48,93.692,4655.743,119.277,3.616,11.783,,,,,
,driver_102,48,69.356,3488.775,80.586,3.453,18.042,,,,,
,driver_102,48,84.669,4268.739,100.654,3.482,10.139,,,,,
,driver_102,48,87.153,4353.625,116.361,1.731,0.841,,,,,
,driver_102,48,88.595,4334.749,83.132,0.507,0.703,,,,,
,driver_102,48,90.336,4574.507,60.719,3.067,1.487,,,,,
,driver_102,48,73.891,3639.576,91.849,14.861,3.274,,,,,
,driver_102,48,112.132,5857.81,15.497,3.319,2.291,,,,,
,driver_102,48,97.822,5395.98,91.746,6.917,4.215,,,,,
,driver_102,48,89.007,4354.536,90.459,3.138,0.768,,,,,
,driver_102,48,82.347,4269.117,77.038,13.599,3.615,,,,,
