race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_081,3,100.936,311.981,9.483,0.674,0.699,,,,,
,driver_081,3,83.595,258.206,7.534,0.817,1.057,,,,,
,driver_081,3,112.734,350.606,19.228,1.179,2.99,,,,,
,driver_081,3,105.456,331.236,15.626,0.566,1.878,,,,,
,driver_081,3,84.095,258.83,4.039,0.719,1.522,,,,,
,driver_081,3,78.651,246.686,6.703,0.832,0.797,,,,,
,driver_081,3,82.305,252.741,3.017,2.803,3.017,,,,,
,driver_081,3,79.0,244.875,12.097,1.434,0.938,,,,,
,driver_081,3,79.717,248.23,9.753,5.564,7.463,,,,,
,driver_081,3,101.244,452.825,15.549,150.999,4.317,,,,,
,driver_081,3,96.935,299.896,8.744,0.667,0.963,,,,,
,driver_081,3,98.86,301.64,7.482,1.213,0.896,,,,,
,driver_081,3,81.667,254.719,10.806,0.698,0.873,,,,,
,driver_081,3,104.161,317.219,4.043,0.772,0.74,,,,,
,driver_081,3,108.49,315.525,3.611,0.348,0.41,,,,,
,driver_081,3,81.704,256.544,10.007,0.278,0.372,,,,,
,driver_081,3,93.365,291.975,5.673,1.297,3.48,,,,,
,driver_081,3,99.236,306.092,6.52,0.596,0.826,,,,,
,driver_081,3,88.619,276.252,7.624,2.613,0.734,,,,,
,driver_081,3,152.355,432.062,6.423,1.145,1.322,,,,,
,driver_081,3,82.004,255.19,7.392,1.704,1.686,,,,,
,driver_081,3,87.176,274.101,15.963,2.913,0.602,,,,,
,driver_081,3,79.149,248.618,5.165,1.36,0.662,,,,,
,driver_081,3,98.999,301.064,8.67,0.779,0.464,,,,,
,driver_081,3,100.94,308.954,6.415,2.505,1.619,,,,,
,driver_081,3,133.153,400.931,4.163,1.469,1.121,,,,,
,driver_081,3,148.323,444.377,6.837,1.982,0.528,,,,,
,driver_081,3,100.357,305.423,5.13,5.281,2.108,,,,,
,driver_081,3,110.164,346.094,20.005,2.695,0.274,,,,,
,driver_081,3,86.653,275.232,21.958,1.223,0.82,,,,,
,driver_081,3,123.694,326.718,9.731,1.523,2.387,,,,,
,driver_081,3,87.777,274.139,17.418,22.92,0.076,,,,,
,driver_081,3,153.523,458.193,8.565,0.943,1.475,,,,,
,driver_081,3,103.889,317.836,15.097,0.764,0.752,,,,,
,driver_081,3,150.462,392.559,20.903,1.555,1.254,,,,,
,driver_081,3,86.82,268.084,11.366,0.915,0.855,,,,,
,driver_081,3,162.852,1682.974,22.181,1.276,1.85,,,,,
,driver_081,3,72.626,226.792,14.16,0.706,0.716,,,,,
,driver_081,3,98.727,321.238,4.51,0.33,0.983,,,,,
,driver_081,3,97.004,301.238,15.662,0.441,0.267,,,,,
,driver_081,3,89.54,344.82,9.25,2.808,0.517,,,,,
,driver_081,3,79.697,246.191,7.632,1.922,2.219,,,,,
,driver_081,3,147.903,385.817,0.466,0.466,0.466,,,,,
,driver_081,3,76.346,235.423,0.0,2.02,,,,,,
,driver_081,3,87.928,269.824,0.0,1.08,,,,,,
,driver_081,3,92.145,281.536,6.363,0.342,6.363,,,,,
,driver_081,3,74.299,230.919,2.229,1.738,2.229,,,,,
,driver_081,3,81.992,256.014,10.428,1.316,1.115,,,,,
,driver_081,3,89.11,283.102,11.364,3.498,0.768,,,,,
,driver_081,3,85.862,261.675,3.91,1.921,1.47,,,,,
,driver_081,3,74.679,232.879,11.733,0.602,0.468,,,,,
,driver_081,3,81.871,254.905,11.213,0.829,0.594,,,,,
,driver_081,3,89.349,277.446,13.63,0.836,0.915,,,,,
,driver_081,3,90.871,281.113,8.811,0.392,0.458,,,,,
,driver_081,3,114.96,449.488,4.325,1.465,1.014,,,,,
,driver_081,3,121.06,381.905,3.05,0.448,2.723,,,,,
,driver_081,3,70.705,218.184,6.488,0.841,2.925,,,,,
,driver_081,3,83.465,258.546,11.149,1.078,2.076,,,,,
,driver_081,3,131.629,386.354,3.755,0.681,2.07,,,,,
,driver_081,3,78.655,240.283,3.611,1.292,1.703,,,,,
,driver_081,3,100.392,300.149,0.0,2.255,,,,,,
,driver_081,3,82.306,253.508,8.414,2.33,1.073,,,,,
,driver_081,3,75.16,229.741,3.102,1.372,1.001,,,,,
,driver_081,3,100.931,328.667,15.448,0.748,0.934,,,,,
,driver_081,3,78.808,253.666,18.807,2.48,0.747,,,,,
,driver_081,3,98.835,309.215,13.001,0.974,0.47,,,,,
,driver_081,3,72.098,226.188,15.695,0.894,0.433,,,,,
,driver_081,3,95.089,295.545,19.659,0.56,0.469,,,,,
,driver_081,3,90.648,282.679,25.506,2.668,1.735,,,,,
,driver_081,3,145.649,422.014,3.362,0.353,0.535,,,,,
,driver_081,3,140.38,408.131,17.118,1.454,1.308,,,,,
,driver_081,3,105.068,323.269,18.521,0.587,0.609,,,,,
