race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_013,57,109.048,6621.402,18.857,1.374,1.547,,,,,
,driver_013,57,78.48,4626.393,110.639,1.533,22.774,,,,,
,driver_013,57,90.951,5300.646,27.321,26.92,5.522,,,,,
,driver_013,57,88.514,4849.06,86.877,0.96,6.702,,,,,
,driver_013,57,72.029,4681.212,56.328,0.476,1.051,,,,,
,driver_013,57,78.872,4615.523,3.101,0.41,3.101,,,,,
,driver_013,57,88.612,5188.298,33.717,2.394,33.115,,,,,
,driver_013,57,89.545,5218.065,67.832,0.295,2.036,,,,,
,driver_013,57,91.924,5424.448,164.659,159.36,8.115,,,,,
,driver_013,57,87.437,5074.946,141.928,9.84,0.911,,,,,
,driver_013,57,85.257,4976.595,108.16,3.649,1.062,,,,,
,driver_013,57,90.637,5091.625,0.0,10.888,,,,,,
,driver_013,57,81.644,4769.519,50.555,16.492,0.583,,,,,
,driver_013,57,82.706,4873.735,53.953,3.344,11.425,,,,,
,driver_013,57,83.783,5574.126,161.892,1.989,12.835,,,,,
,driver_013,57,75.674,4404.213,123.856,3.132,4.651,,,,,
,driver_013,57,93.261,5406.197,19.992,17.056,0.632,,,,,
,driver_013,57,78.707,4536.462,59.354,23.505,3.285,,,,,
,driver_013,57,83.009,4861.102,38.256,29.779,18.228,,,,,
,driver_013,57,77.696,4444.777,47.595,5.812,0.938,,,,,
,driver_013,57,85.363,4972.849,124.701,71.875,23.838,,,,,
,driver_013,57,85.406,5067.668,315.641,13.168,49.884,,,,,
,driver_013,57,83.566,4775.902,97.408,9.896,21.648,,,,,
,driver_013,57,91.262,5521.235,0.0,16.234,,,,,,
,driver_013,57,85.888,5033.865,64.643,1.668,2.801,,,,,
,driver_013,57,81.361,6449.497,7.789,0.432,0.545,,,,,
,driver_013,57,95.857,5812.383,20.23,3.772,15.521,,,,,
,driver_013,57,82.797,4933.925,57.571,9.354,2.692,,,,,
,driver_013,57,80.954,4553.814,152.911,,2.07,,,,,
,driver_013,57,84.252,4974.332,151.028,21.479,28.775,,,,,
,driver_013,57,89.296,5216.426,106.116,5.721,13.647,,,,,
,driver_013,57,77.011,4444.65,34.871,12.57,2.074,,,,,
,driver_013,57,83.144,4767.875,18.64,22.008,18.64,,,,,
,driver_013,57,74.472,4359.349,97.956,1.074,6.746,,,,,
,driver_013,57,76.912,4518.157,25.532,9.642,2.213,,,,,
,driver_013,57,78.813,4746.831,7.011,37.627,6.232,,,,,
,driver_013,57,85.196,5295.277,0.0,5.035,,,,,,
,driver_013,57,80.05,4668.59,0.686,2.128,0.686,,,,,
,driver_013,57,75.722,4406.693,38.278,1.082,0.29,,,,,
,driver_013,57,102.134,5786.202,34.913,1.754,7.169,,,,,
,driver_013,57,83.793,4864.165,129.826,0.556,6.898,,,,,
,driver_013,57,86.074,5027.968,45.096,12.727,1.821,,,,,
,driver_013,57,86.62,5040.041,76.833,16.744,3.938,,,,,
,driver_013,57,94.124,5341.562,26.687,5.527,25.32,,,,,
,driver_013,57,80.721,4849.952,10.072,2.505,4.304,,,,,
,driver_013,57,84.721,5108.409,47.029,2.31,0.647,,,,,
,driver_013,57,78.84,4687.128,128.652,3.413,38.291,,,,,
,driver_013,57,78.077,4437.953,47.453,50.519,17.676,,,,,
,driver_013,57,82.543,4828.082,131.379,34.167,10.471,,,,,
,driver_013,57,76.617,4455.959,97.094,0.563,16.676,,,,,
,driver_013,57,80.543,4722.332,59.443,0.606,0.562,,,,,
,driver_013,57,89.573,5678.893,47.111,0.934,1.432,,,,,
,driver_013,57,76.91,4528.498,116.943,5.379,4.306,,,,,
,driver_013,57,175.654,5502.911,0.0,2.116,,,,,,
,driver_013,57,95.178,5540.886,26.246,0.829,2.413,,,,,
,driver_013,57,110.203,6547.916,24.569,10.277,2.987,,,,,
,driver_013,57,77.933,4506.199,60.467,5.657,4.648,,,,,
,driver_013,57,92.443,6357.095,52.557,4.314,8.093,,,,,
,driver_013,57,78.483,4538.205,89.333,6.221,12.565,,,,,
,driver_013,57,74.667,4396.343,93.765,2.725,9.163,,,,,
,driver_013,57,75.468,4349.99,23.289,1.937,10.041,,,,,
,driver_013,57,88.6,5658.849,68.01,114.777,1.379,,,,,
,driver_013,57,94.716,5499.142,79.858,27.903,12.659,,,,,
,driver_013,57,75.213,4370.553,93.662,1.633,14.46,,,,,
,driver_013,57,90.848,5333.36,55.047,10.167,17.209,,,,,
,driver_013,57,99.809,13541.752,17.026,15.398,2.748,,,,,
,driver_013,57,88.139,5176.959,5.334,18.089,5.334,,,,,
,driver_013,57,76.069,4497.398,43.211,16.791,2.932,,,,,
,driver_013,57,107.932,6281.302,24.653,3.124,1.787,,,,,
,driver_013,57,92.587,5352.035,98.448,3.009,2.362,,,,,
,driver_013,57,92.035,5370.423,47.814,0.484,0.569,,,,,
,driver_013,57,90.303,5373.204,88.217,8.002,4.624,,,,,
,driver_013,57,80.634,5556.012,59.398,14.184,5.331,,,,,
,driver_013,57,92.486,9678.0,28.45,,0.939,,,,,
,driver_013,57,76.637,4424.648,0.0,13.239,,,,,,
,driver_013,57,80.182,4807.879,56.805,9.903,3.01,,,,,
,driver_013,57,88.939,5207.799,169.795,,1.435,,,,,
,driver_013,57,86.253,5074.225,38.144,1.404,2.516,,,,,
,driver_013,57,88.646,5254.942,15.053,32.448,7.626,,,,,
,driver_013,57,76.688,4817.8,5.245,38.127,5.245,,,,,
,driver_013,57,75.082,4360.031,9.94,13.301,9.94,,,,,
,driver_013,57,110.128,6663.421,28.37,9.022,1.663,,,,,
,driver_013,57,109.001,6703.079,6.508,22.181,6.508,,,,,
,driver_013,57,78.658,4633.379,107.502,9.358,5.212,,,,,
,driver_013,57,73.76,4278.586,25.031,2.242,10.556,,,,,
,driver_013,57,80.344,4650.344,50.411,32.938,5.618,,,,,
,driver_013,57,84.112,5078.184,0.0,11.076,,,,,,
,driver_013,57,82.974,4860.348,100.301,26.827,24.666,,,,,
,driver_013,57,79.287,4699.055,107.535,1.197,1.044,,,,,
,driver_013,57,96.423,5407.285,92.321,7.345,15.329,,,,,
,driver_013,57,81.734,4730.884,68.433,16.127,5.857,,,,,
,driver_013,57,85.054,5127.344,160.664,16.348,0.348,,,,,
,driver_013,57,90.323,5232.323,226.799,,39.666,,,,,
,driver_013,57,88.862,5113.13,238.179,30.676,19.413,,,,,
,driver_013,57,86.921,5007.026,72.294,12.808,19.076,,,,,
,driver_013,57,90.782,5239.227,3.398,21.114,3.398,,,,,
,driver_013,57,86.104,5058.261,25.849,1.982,1.261,,,,,
,driver_013,57,113.486,7006.303,6.791,6.641,6.791,,,,,
,driver_013,57,100.055,4997.776,0.0,14.515,,,,,,
,driver_013,57,78.975,4913.576,14.703,7.215,6.285,,,,,
,driver_013,57,87.854,5024.564,7.319,105.594,0.641,,,,,
,driver_013,57,80.987,4714.007,72.363,2.58,10.539,,,,,
,driver_013,57,75.599,4524.347,30.375,3.715,0.471,,,,,
,driver_013,57,82.773,5198.438,46.319,4.199,16.16,,,,,
,driver_013,57,81.484,4726.948,109.294,13.78,2.332,,,,,
,driver_013,57,78.369,4502.813,26.081,0.58,22.632,,,,,
,driver_013,57,83.628,4823.559,64.497,1.924,15.417,,,,,
,driver_013,57,79.558,4616.324,73.085,14.528,3.096,,,,,
,driver_013,57,96.936,5516.266,115.47,22.992,14.015,,,,,
,driver_013,57,74.814,4440.344,175.417,,8.398,,,,,
,driver_013,57,93.754,5377.176,166.566,0.551,1.012,,,,,
,driver_013,57,98.883,5005.677,118.385,58.866,2.834,,,,,
,driver_013,57,85.163,5047.408,76.513,1.822,2.321,,,,,
,driver_013,57,75.972,4562.481,13.502,2.999,1.395,,,,,
,driver_013,57,93.65,5382.268,56.329,5.49,8.778,,,,,
,driver_013,57,89.738,5558.719,0.0,3.303,,,,,,
,driver_013,57,78.444,4623.577,95.722,3.855,8.01,,,,,
,driver_013,57,88.336,5234.109,78.784,0.561,4.577,,,,,
,driver_013,57,76.719,4513.301,30.029,3.582,21.332,,,,,
,driver_013,57,93.186,5608.737,30.027,5.257,3.25,,,,,
,driver_013,57,70.522,4311.103,29.56,1.118,21.29,,,,,
,driver_013,57,96.805,5508.182,0.0,7.187,,,,,,
,driver_013,57,78.15,4819.863,106.008,,58.023,,,,,
,driver_013,57,96.625,4635.333,91.862,10.242,9.373,,,,,
,driver_013,57,86.481,4999.988,83.188,6.218,36.994,,,,,
,driver_013,57,78.698,4689.873,92.751,2.945,3.397,,,,,
,driver_013,57,91.23,5370.364,652.499,,424.975,,,,,
,driver_013,57,89.085,5119.14,51.053,17.584,13.671,,,,,
,driver_013,57,84.525,4737.704,83.68,2.122,0.345,,,,,
,driver_013,57,104.433,6042.229,12.658,12.969,7.616,,,,,
,driver_013,57,89.303,5229.4,26.827,17.462,11.939,,,,,
,driver_013,57,92.936,5391.841,80.377,1.587,13.441,,,,,
,driver_013,57,86.398,5072.288,34.8,13.397,7.727,,,,,
,driver_013,57,117.851,6762.19,54.503,0.164,2.712,,,,,
,driver_013,57,88.814,5286.913,82.023,9.336,3.322,,,,,
,driver_013,57,87.998,5210.629,90.303,0.783,12.887,,,,,
,driver_013,57,78.406,4520.445,102.1,1.294,1.665,,,,,
,driver_013,57,78.728,4607.893,111.777,2.516,2.475,,,,,
,driver_013,57,85.143,5617.492,0.0,13.394,,,,,,
,driver_013,57,73.837,4503.699,29.639,1.696,2.064,,,,,
,driver_013,57,84.926,4848.733,12.252,18.323,11.913,,,,,
,driver_013,57,85.538,4941.955,80.559,26.952,24.282,,,,,
,driver_013,57,71.272,4238.036,40.166,19.816,26.397,,,,,
,driver_013,57,77.163,4493.56,62.069,7.492,1.341,,,,,
,driver_013,57,81.528,4750.543,171.195,17.986,5.126,,,,,
,driver_013,57,79.437,4590.154,146.724,13.931,23.247,,,,,
,driver_013,57,76.677,4509.539,102.066,3.008,12.852,,,,,
,driver_013,57,102.34,6036.234,60.065,38.025,8.36,,,,,
,driver_013,57,98.561,5807.129,46.631,19.819,5.505,,,,,
,driver_013,57,83.787,4852.544,48.506,3.067,3.057,,,,,
,driver_013,58,76.343,4500.991,0.0,12.655,,,,,,
,driver_013,58,75.016,4599.363,30.63,3.781,0.325,,,,,
,driver_013,58,82.896,4943.244,100.536,28.953,24.193,,,,,
,driver_013,58,78.54,4616.745,89.74,6.865,12.092,,,,,
,driver_013,58,85.289,5193.698,46.836,0.982,0.569,,,,,
,driver_013,58,94.478,5593.62,78.691,29.251,11.752,,,,,
,driver_013,58,75.1,4445.653,93.383,2.046,14.552,,,,,
,driver_013,58,85.976,5119.841,64.974,1.672,2.822,,,,,
,driver_013,58,119.488,6881.678,64.749,0.357,2.147,,,,,
,driver_013,58,78.046,4897.909,106.709,,57.328,,,,,
,driver_013,58,109.699,6731.101,20.006,1.3,1.819,,,,,
,driver_013,58,84.268,5058.6,151.702,22.614,28.437,,,,,
,driver_013,58,75.933,4480.146,125.409,1.699,3.362,,,,,
,driver_013,58,75.047,4435.078,9.707,13.41,9.707,,,,,
,driver_013,58,95.296,5616.531,0.0,12.034,,,,,,
,driver_013,58,75.874,4638.355,14.873,2.229,0.241,,,,,
,driver_013,58,90.872,5308.937,70.335,10.457,1.003,,,,,
,driver_013,58,85.831,5144.092,25.568,2.687,1.022,,,,,
,driver_013,58,77.076,4590.377,30.967,3.384,21.514,,,,,
,driver_013,58,92.627,5444.662,101.195,2.028,2.71,,,,,
,driver_013,58,90.545,5463.749,88.588,9.193,3.165,,,,,
,driver_013,58,79.352,4887.231,57.041,10.997,3.664,,,,,
,driver_013,58,85.482,5702.974,0.0,16.1,,,,,,
,driver_013,58,82.689,4833.232,174.59,19.228,8.144,,,,,
,driver_013,58,77.185,4595.342,25.752,9.528,2.195,,,,,
,driver_013,58,109.153,6812.232,3.737,24.337,3.737,,,,,
,driver_013,58,97.135,5909.518,23.197,1.922,18.051,,,,,
,driver_013,58,77.431,4356.017,29.299,2.114,1.727,,,,,
,driver_013,58,70.362,4381.465,29.9,1.235,20.706,,,,,
,driver_013,58,81.871,4851.39,49.929,18.039,0.538,,,,,
,driver_013,58,78.058,4704.451,110.103,1.65,23.099,,,,,
,driver_013,58,73.513,4577.212,29.045,1.464,1.609,,,,,
,driver_013,58,85.79,5113.758,39.304,16.116,1.331,,,,,
,driver_013,58,77.065,4521.842,48.046,6.146,0.683,,,,,
,driver_013,58,89.249,5748.098,65.974,,0.438,,,,,
,driver_013,58,86.283,5059.132,127.252,69.63,24.899,,,,,
,driver_013,58,79.578,4669.732,148.389,13.839,23.745,,,,,
,driver_013,58,78.829,4694.352,2.913,0.494,2.913,,,,,
,driver_013,58,87.657,5275.955,33.939,3.175,33.35,,,,,
,driver_013,58,88.937,5265.896,5.6,17.105,5.6,,,,,
,driver_013,58,88.271,5322.38,79.024,1.003,5.243,,,,,
,driver_013,58,87.271,5162.217,144.777,10.03,1.012,,,,,
,driver_013,58,81.04,4795.047,73.718,3.039,10.981,,,,,
,driver_013,58,84.097,5162.281,0.0,11.607,,,,,,
,driver_013,58,74.85,4710.183,92.11,10.128,8.324,,,,,
,driver_013,58,82.937,4944.039,39.294,31.856,19.605,,,,,
,driver_013,58,86.324,5086.312,82.852,5.966,37.038,,,,,
,driver_013,58,90.103,5460.467,653.152,,420.206,,,,,
