race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_019,17,79.035,1364.026,55.074,0.957,0.692,,,,,
,driver_019,17,78.536,1357.838,47.869,1.704,1.573,,,,,
,driver_019,17,74.549,1512.569,12.574,0.404,0.79,,,,,
,driver_019,17,92.953,1605.245,17.879,5.768,0.795,,,,,
,driver_019,17,84.439,1460.006,32.846,0.851,1.115,,,,,
,driver_019,17,87.316,1505.224,27.594,3.529,0.904,,,,,
,driver_019,17,102.048,1752.856,8.387,14.976,8.387,,,,,
,driver_019,17,78.408,1362.962,60.37,0.731,2.461,,,,,
,driver_019,17,89.397,1543.331,36.93,1.479,1.455,,,,,
,driver_019,17,87.07,1497.693,38.233,2.282,2.821,,,,,
,driver_019,17,83.712,1628.856,24.221,1.946,5.675,,,,,
,driver_019,17,101.329,1721.668,66.098,53.856,10.324,,,,,
,driver_019,17,80.612,1384.465,33.043,0.769,0.721,,,,,
,driver_019,17,80.328,1374.037,33.488,1.207,11.295,,,,,
,driver_019,17,88.815,1597.67,26.376,0.24,1.641,,,,,
,driver_019,17,99.937,1717.354,58.641,3.364,0.712,,,,,
,driver_019,17,99.574,1796.695,44.573,7.1,3.608,,,,,
,driver_019,17,81.304,1407.896,25.225,0.176,8.328,,,,,
,driver_019,17,92.164,1646.544,87.417,10.71,2.807,,,,,
,driver_019,17,116.528,2201.916,1.918,5.424,1.918,,,,,
,driver_019,17,97.054,1692.866,24.567,13.349,1.357,,,,,
,driver_019,17,92.25,1640.563,57.982,5.537,2.51,,,,,
,driver_019,17,79.543,1388.28,40.748,6.895,3.402,,,,,
,driver_019,17,73.705,1285.132,31.705,4.576,0.262,,,,,
,driver_019,17,81.451,1414.257,2.126,6.198,0.773,,,,,
,driver_019,17,95.553,1636.804,28.072,2.331,27.289,,,,,
,driver_019,17,80.203,1396.482,31.966,12.743,4.561,,,,,
,driver_019,17,84.642,1528.005,94.98,9.635,11.303,,,,,
,driver_019,17,83.574,1678.814,1.387,8.197,0.499,,,,,
,driver_019,17,103.946,1776.33,38.03,5.33,2.829,,,,,
,driver_019,17,83.789,1448.154,62.063,0.419,0.329,,,,,
,driver_019,17,130.828,2319.358,44.727,5.004,21.916,,,,,
,driver_019,17,87.318,1505.089,21.63,3.223,0.295,,,,,
,driver_019,17,80.753,1387.565,70.94,2.169,1.501,,,,,
,driver_019,17,86.358,1698.035,47.077,3.499,0.651,,,,,
,driver_019,17,94.296,1673.192,70.122,12.368,2.165,,,,,
,driver_019,17,88.058,1797.693,17.769,2.28,1.358,,,,,
,driver_019,17,78.383,1386.121,72.43,19.038,0.474,,,,,
,driver_019,17,91.683,1661.53,11.539,0.579,1.222,,,,,
,driver_019,17,87.466,1546.859,65.711,16.416,0.833,,,,,
,driver_019,17,95.286,1642.695,33.026,0.796,1.103,,,,,
,driver_019,17,98.695,1698.235,34.875,1.49,2.935,,,,,
,driver_019,17,103.452,1462.712,21.101,9.521,4.181,,,,,
,driver_019,17,73.437,1375.266,45.47,3.852,1.799,,,,,
,driver_019,17,98.72,1607.465,39.529,0.59,14.656,,,,,
,driver_019,17,76.842,1311.012,0.0,1.833,,,,,,
,driver_019,17,91.541,1587.314,55.484,6.372,0.643,,,,,
,driver_019,17,100.367,1388.89,50.772,6.967,2.403,,,,,
,driver_019,17,80.254,1412.428,93.639,,0.854,,,,,
,driver_019,17,106.148,1576.847,41.152,1.134,0.918,,,,,
,driver_019,17,106.834,1868.757,78.498,9.096,0.442,,,,,
,driver_019,17,95.484,1631.103,34.809,1.256,1.178,,,,,
,driver_019,17,78.221,1361.279,44.199,19.921,0.466,,,,,
,driver_019,17,82.908,1438.418,30.659,3.22,3.886,,,,,
,driver_019,17,129.808,1835.244,38.8,1.357,2.458,,,,,
,driver_019,17,81.462,1648.901,5.421,2.675,1.73,,,,,
,driver_019,17,76.91,1322.812,0.0,0.962,,,,,,
,driver_019,17,86.242,1482.665,37.94,0.554,1.97,,,,,
,driver_019,17,85.672,1463.685,14.327,1.126,12.411,,,,,
,driver_019,17,115.615,2170.904,17.898,4.369,9.042,,,,,
,driver_019,17,101.149,1728.874,25.084,5.894,11.433,,,,,
,driver_019,17,121.131,2524.781,116.563,5.458,4.08,,,,,
,driver_019,17,88.703,1541.715,33.863,4.64,0.628,,,,,
,driver_019,17,77.088,1330.504,8.019,19.232,8.019,,,,,
,driver_019,17,127.849,1488.537,2.581,0.324,0.422,,,,,
,driver_019,17,76.231,1306.578,4.23,0.89,2.036,,,,,
,driver_019,17,86.503,1491.581,0.0,2.64,,,,,,
,driver_019,17,82.422,1422.373,15.291,5.799,8.106,,,,,
,driver_019,17,78.745,1358.488,0.872,9.85,0.872,,,,,
,driver_019,17,88.627,1523.054,3.402,15.889,0.746,,,,,
,driver_019,17,89.066,2126.263,13.52,1.44,1.875,,,,,
,driver_019,17,90.347,1604.645,22.768,1.339,1.89,,,,,
,driver_019,17,86.885,1496.292,11.672,1.568,0.408,,,,,
,driver_019,17,107.23,1845.355,26.603,1.97,1.026,,,,,
,driver_019,17,88.247,1510.202,14.423,9.366,2.755,,,,,
,driver_019,17,87.217,1531.006,14.818,2.429,11.388,,,,,
,driver_019,17,74.19,1284.791,19.237,6.27,1.069,,,,,
,driver_019,17,103.715,1420.313,95.425,32.565,4.004,,,,,
,driver_019,17,76.827,1332.007,37.037,5.137,2.627,,,,,
,driver_019,17,87.477,1665.421,7.052,0.308,0.931,,,,,
,driver_019,17,129.647,1906.115,35.455,9.195,5.245,,,,,
,driver_019,17,75.91,1306.334,14.195,3.963,1.817,,,,,
,driver_019,17,95.003,1782.233,25.89,1.322,0.626,,,,,
,driver_019,17,108.235,1848.141,47.821,2.335,0.623,,,,,
,driver_019,17,81.647,1409.364,16.503,2.143,7.185,,,,,
,driver_019,17,79.045,1474.627,12.813,8.427,1.821,,,,,
